Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
cellular protein complex localization (GO:0034629)	1/9	0.0835877745583714	1	0	0	11.5141047783535	28.576373136733	RAN
ear development (GO:0043583)	1/9	0.0835877745583714	1	0	0	11.5141047783535	28.576373136733	RDH10
regulation of oxidative stress-induced neuron death (GO:1903203)	1/9	0.0835877745583714	1	0	0	11.5141047783535	28.576373136733	ATF4
endocardial cushion development (GO:0003197)	1/9	0.0835877745583714	1	0	0	11.5141047783535	28.576373136733	CITED2
deoxyribonucleoside diphosphate metabolic process (GO:0009186)	1/9	0.0835877745583714	1	0	0	11.5141047783535	28.576373136733	DTYMK
histone H3-K9 demethylation (GO:0033169)	1/9	0.0835877745583714	1	0	0	11.5141047783535	28.576373136733	KDM3A
regulation of centriole replication (GO:0046599)	1/9	0.0835877745583714	1	0	0	11.5141047783535	28.576373136733	NPM1
hexose biosynthetic process (GO:0019319)	2/50	0.0839939213384512	1	0	0	4.14507772020725	10.2674024778269	SLC25A12;ATF4
regulation of mitotic cell cycle (GO:0007346)	7/391	0.0853770567021508	1	0	0	1.85521381339199	4.56508357689483	ANAPC7;ZWILCH;RPS6;NABP1;PHIP;INO80;ANAPC10
regulation of chromosome organization (GO:0033044)	4/172	0.0854814155746109	1	0	0	2.40992890709724	5.92711480507617	KDM3A;ANAPC7;OGT;ANAPC10
cellular response to cytokine stimulus (GO:0071345)	8/471	0.0868736898439008	1	0	0	1.76011792790117	4.30049623206172	SYNCRIP;HSP90AB1;FASN;KEAP1;NUP35;PTPN11;RBMX;EIF4G1
circadian regulation of gene expression (GO:0032922)	2/51	0.0868867142620854	1	0	0	4.0638016864777	9.92847767453195	OGT;ATF4
regulation of epithelial cell differentiation (GO:0030856)	3/109	0.0886840775731603	1	0	0	2.85211769739031	6.90975399877821	NME2;KEAP1;SRSF6
purine ribonucleoside triphosphate biosynthetic process (GO:0009206)	2/52	0.0898091124311667	1	0	0	3.98565165404544	9.6056948349446	NME2;NME1
ATP-dependent chromatin remodeling (GO:0043044)	2/52	0.0898091124311667	1	0	0	3.98565165404544	9.6056948349446	SMARCC1;NPM1
positive regulation of granulocyte differentiation (GO:0030854)	1/10	0.0924351181411287	1	0	0	10.3626943005181	24.6761482495236	OGT
nucleoside diphosphate biosynthetic process (GO:0009133)	1/10	0.0924351181411287	1	0	0	10.3626943005181	24.6761482495236	DTYMK
histone H3-K4 trimethylation (GO:0080182)	1/10	0.0924351181411287	1	0	0	10.3626943005181	24.6761482495236	OGT
cardiovascular system development (GO:0072358)	1/10	0.0924351181411287	1	0	0	10.3626943005181	24.6761482495236	POGLUT1
positive regulation of keratinocyte differentiation (GO:0045618)	1/10	0.0924351181411287	1	0	0	10.3626943005181	24.6761482495236	NME2
RNA splicing, via endonucleolytic cleavage and ligation (GO:0000394)	1/10	0.0924351181411287	1	0	0	10.3626943005181	24.6761482495236	TSEN2
establishment of viral latency (GO:0019043)	1/10	0.0924351181411287	1	0	0	10.3626943005181	24.6761482495236	PPIA
tRNA splicing, via endonucleolytic cleavage and ligation (GO:0006388)	1/10	0.0924351181411287	1	0	0	10.3626943005181	24.6761482495236	TSEN2
positive regulation of intracellular steroid hormone receptor signaling pathway (GO:0033145)	1/10	0.0924351181411287	1	0	0	10.3626943005181	24.6761482495236	KMT2D
terpenoid biosynthetic process (GO:0016114)	1/10	0.0924351181411287	1	0	0	10.3626943005181	24.6761482495236	RDH10
N-glycan processing (GO:0006491)	1/10	0.0924351181411287	1	0	0	10.3626943005181	24.6761482495236	MGAT4B
nodal signaling pathway (GO:0038092)	1/10	0.0924351181411287	1	0	0	10.3626943005181	24.6761482495236	CITED2
mitochondrial DNA replication (GO:0006264)	1/10	0.0924351181411287	1	0	0	10.3626943005181	24.6761482495236	MGME1
regulation of male gonad development (GO:2000018)	1/10	0.0924351181411287	1	0	0	10.3626943005181	24.6761482495236	CITED2
regulation of glucose import in response to insulin stimulus (GO:2001273)	1/10	0.0924351181411287	1	0	0	10.3626943005181	24.6761482495236	PTPN11
positive regulation of transcription from RNA polymerase II promoter in response to stress (GO:0036003)	1/10	0.0924351181411287	1	0	0	10.3626943005181	24.6761482495236	ATF4
positive regulation of protein import into nucleus, translocation (GO:0033160)	1/10	0.0924351181411287	1	0	0	10.3626943005181	24.6761482495236	HSP90AB1
regulation of glucocorticoid secretion (GO:2000849)	1/10	0.0924351181411287	1	0	0	10.3626943005181	24.6761482495236	PTPN11
mitochondrial transport (GO:0006839)	3/111	0.0924406979752189	1	0	0	2.80072818932923	6.66906019613149	TIMM9;TRNT1;SLC25A12
nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:0000288)	2/53	0.0927602823407156	1	0	0	3.91045067944081	9.298022183294	EIF4B;EIF4G1
positive regulation of protein binding (GO:0032092)	2/53	0.0927602823407156	1	0	0	3.91045067944081	9.298022183294	HSP90AB1;RAN
purine nucleoside triphosphate biosynthetic process (GO:0009145)	2/53	0.0927602823407156	1	0	0	3.91045067944081	9.298022183294	NME2;NME1
regulation of mitosis (GO:0007088)	3/112	0.0943434889480004	1	0	0	2.77572168763879	6.55295989760083	ANAPC7;PHIP;ANAPC10
negative regulation of nuclear division (GO:0051784)	2/54	0.0957394036409562	1	0	0	3.83803492611783	9.00451093448705	ANAPC7;ANAPC10
DNA biosynthetic process (GO:0071897)	2/54	0.0957394036409562	1	0	0	3.83803492611783	9.00451093448705	POLD2;POLE3
negative regulation of protein ubiquitination (GO:0031397)	3/113	0.0962623673333945	1	0	0	2.75115777889862	6.43957399869708	ANAPC7;OGT;ANAPC10
DNA duplex unwinding (GO:0032508)	2/55	0.0987456689976902	1	0	0	3.76825247291568	8.72428727051887	MCM3;INO80
establishment of protein localization to mitochondrion (GO:0072655)	2/55	0.0987456689976902	1	0	0	3.76825247291568	8.72428727051887	TIMM9;TRNT1
S-adenosylmethionine metabolic process (GO:0046500)	1/11	0.101197485556128	1	0	0	9.42063118228921	21.5796643308598	MAT2A
embryonic viscerocranium morphogenesis (GO:0048703)	1/11	0.101197485556128	1	0	0	9.42063118228921	21.5796643308598	RDH10
regulation of peroxisome proliferator activated receptor signaling pathway (GO:0035358)	1/11	0.101197485556128	1	0	0	9.42063118228921	21.5796643308598	CITED2
positive regulation by host of viral transcription (GO:0043923)	1/11	0.101197485556128	1	0	0	9.42063118228921	21.5796643308598	TFAP4
spliceosomal tri-snRNP complex assembly (GO:0000244)	1/11	0.101197485556128	1	0	0	9.42063118228921	21.5796643308598	SRSF10
positive regulation of receptor biosynthetic process (GO:0010870)	1/11	0.101197485556128	1	0	0	9.42063118228921	21.5796643308598	HNRNPK
negative regulation of epidermal cell differentiation (GO:0045605)	1/11	0.101197485556128	1	0	0	9.42063118228921	21.5796643308598	SRSF6
negative regulation of peptidyl-threonine phosphorylation (GO:0010801)	1/11	0.101197485556128	1	0	0	9.42063118228921	21.5796643308598	SPRED1
positive regulation of histone H3-K4 methylation (GO:0051571)	1/11	0.101197485556128	1	0	0	9.42063118228921	21.5796643308598	OGT
inner mitochondrial membrane organization (GO:0007007)	1/11	0.101197485556128	1	0	0	9.42063118228921	21.5796643308598	TIMM9
telomere maintenance via telomerase (GO:0007004)	1/11	0.101197485556128	1	0	0	9.42063118228921	21.5796643308598	DKC1
protein prenylation (GO:0018342)	1/11	0.101197485556128	1	0	0	9.42063118228921	21.5796643308598	RABGGTB
regulation of nuclear cell cycle DNA replication (GO:0033262)	1/11	0.101197485556128	1	0	0	9.42063118228921	21.5796643308598	INO80
regulation of growth hormone secretion (GO:0060123)	1/11	0.101197485556128	1	0	0	9.42063118228921	21.5796643308598	PTPN11
IMP biosynthetic process (GO:0006188)	1/11	0.101197485556128	1	0	0	9.42063118228921	21.5796643308598	PPAT
basic amino acid transport (GO:0015802)	1/11	0.101197485556128	1	0	0	9.42063118228921	21.5796643308598	SLC7A1
left/right pattern formation (GO:0060972)	1/11	0.101197485556128	1	0	0	9.42063118228921	21.5796643308598	CITED2
mRNA modification (GO:0016556)	1/11	0.101197485556128	1	0	0	9.42063118228921	21.5796643308598	WTAP
prenylation (GO:0097354)	1/11	0.101197485556128	1	0	0	9.42063118228921	21.5796643308598	RABGGTB
cranial nerve morphogenesis (GO:0021602)	1/11	0.101197485556128	1	0	0	9.42063118228921	21.5796643308598	CITED2
RNA phosphodiester bond hydrolysis, endonucleolytic (GO:0090502)	2/56	0.101778283928228	1	0	0	3.70096225018505	8.45654522043913	RPSA;TSEN2
monosaccharide biosynthetic process (GO:0046364)	2/56	0.101778283928228	1	0	0	3.70096225018505	8.45654522043913	SLC25A12;ATF4
DNA geometric change (GO:0032392)	2/57	0.104836466560331	1	0	0	3.6360330879011	8.20054033000078	MCM3;INO80
positive regulation of response to DNA damage stimulus (GO:2001022)	2/57	0.104836466560331	1	0	0	3.6360330879011	8.20054033000078	SPRED1;EEF1E1
Golgi organization (GO:0007030)	2/57	0.104836466560331	1	0	0	3.6360330879011	8.20054033000078	FBXW8;ATL2
negative regulation of protein serine/threonine kinase activity (GO:0071901)	3/118	0.106091866568754	1	0	0	2.6345832967419	5.91055561903492	SPRED1;TFAP4;YWHAG
protein localization to mitochondrion (GO:0070585)	2/58	0.107919447564816	1	0	0	3.57334286224763	7.95558401296455	TIMM9;TRNT1
embryonic organ development (GO:0048568)	3/119	0.108103533587366	1	0	0	2.61244394130709	5.8118148649884	FBXW8;CITED2;RDH10
negative regulation of protein modification by small protein conjugation or removal (GO:1903321)	3/119	0.108103533587366	1	0	0	2.61244394130709	5.8118148649884	ANAPC7;OGT;ANAPC10
pantothenate metabolic process (GO:0015939)	1/12	0.109875688607653	1	0	0	8.63557858376511	19.0708605855359	FASN
regulation of corticosteroid hormone secretion (GO:2000846)	1/12	0.109875688607653	1	0	0	8.63557858376511	19.0708605855359	PTPN11
ribosome assembly (GO:0042255)	1/12	0.109875688607653	1	0	0	8.63557858376511	19.0708605855359	NPM1
deoxyribonucleotide biosynthetic process (GO:0009263)	1/12	0.109875688607653	1	0	0	8.63557858376511	19.0708605855359	DTYMK
regulation of histone H3-K9 methylation (GO:0051570)	1/12	0.109875688607653	1	0	0	8.63557858376511	19.0708605855359	KDM3A
purine nucleobase biosynthetic process (GO:0009113)	1/12	0.109875688607653	1	0	0	8.63557858376511	19.0708605855359	PPAT
histone H3-K9 methylation (GO:0051567)	1/12	0.109875688607653	1	0	0	8.63557858376511	19.0708605855359	KDM3A
negative regulation by host of viral transcription (GO:0043922)	1/12	0.109875688607653	1	0	0	8.63557858376511	19.0708605855359	TFAP4
alternative mRNA splicing, via spliceosome (GO:0000380)	1/12	0.109875688607653	1	0	0	8.63557858376511	19.0708605855359	SRSF6
nucleosome organization (GO:0034728)	3/120	0.110130034253146	1	0	0	2.59067357512953	5.7152680875147	SMARCC1;NPM1;ANP32B
transition metal ion homeostasis (GO:0055076)	3/120	0.110130034253146	1	0	0	2.59067357512953	5.7152680875147	TFRC;SFXN4;COMMD1
negative regulation of protein kinase activity (GO:0006469)	4/189	0.110716526976934	1	0	0	2.19316281492447	4.82667358659183	SPRED1;NPM1;TFAP4;YWHAG
cellular amino acid metabolic process (GO:0006520)	7/421	0.114063058370772	1	0	0	1.72301330412416	3.74066849947285	MAT2A;PPAT;FASN;ODC1;CTPS1;EEF1E1;ATF4
kidney development (GO:0001822)	3/122	0.114226806425051	1	0	0	2.54820351652085	5.52850406108164	PPAT;RDH10;ODC1
double-strand break repair via homologous recombination (GO:0000724)	2/61	0.117309671269172	1	0	0	3.39760468869447	7.28085646040564	NABP1;INO80
secretion by tissue (GO:0032941)	2/61	0.117309671269172	1	0	0	3.39760468869447	7.28085646040564	PPAT;NME1
regulation of response to DNA damage stimulus (GO:2001020)	3/124	0.118380716731601	1	0	0	2.50710345980277	5.34978130178541	SPRED1;DEK;EEF1E1
regulation of respiratory burst (GO:0060263)	1/13	0.118470531438147	1	0	0	7.97130330809087	17.0035155773597	RPS19
polyamine biosynthetic process (GO:0006596)	1/13	0.118470531438147	1	0	0	7.97130330809087	17.0035155773597	ODC1
mitochondrial DNA metabolic process (GO:0032042)	1/13	0.118470531438147	1	0	0	7.97130330809087	17.0035155773597	MGME1
positive regulation of DNA-dependent DNA replication (GO:2000105)	1/13	0.118470531438147	1	0	0	7.97130330809087	17.0035155773597	INO80
regulation of Rac protein signal transduction (GO:0035020)	1/13	0.118470531438147	1	0	0	7.97130330809087	17.0035155773597	OGT
regulation of lipoprotein particle clearance (GO:0010984)	1/13	0.118470531438147	1	0	0	7.97130330809087	17.0035155773597	HNRNPK
IMP metabolic process (GO:0046040)	1/13	0.118470531438147	1	0	0	7.97130330809087	17.0035155773597	PPAT
positive regulation of cellular response to insulin stimulus (GO:1900078)	1/13	0.118470531438147	1	0	0	7.97130330809087	17.0035155773597	PTPN11
Golgi to endosome transport (GO:0006895)	1/13	0.118470531438147	1	0	0	7.97130330809087	17.0035155773597	AP4M1
lens morphogenesis in camera-type eye (GO:0002089)	1/13	0.118470531438147	1	0	0	7.97130330809087	17.0035155773597	CITED2
negative regulation of histone methylation (GO:0031061)	1/13	0.118470531438147	1	0	0	7.97130330809087	17.0035155773597	KDM3A
protein complex localization (GO:0031503)	1/13	0.118470531438147	1	0	0	7.97130330809087	17.0035155773597	RAN
positive regulation of insulin-like growth factor receptor signaling pathway (GO:0043568)	1/13	0.118470531438147	1	0	0	7.97130330809087	17.0035155773597	PHIP
positive regulation of protein export from nucleus (GO:0046827)	1/13	0.118470531438147	1	0	0	7.97130330809087	17.0035155773597	ANP32B
neurotransmitter uptake (GO:0001504)	1/13	0.118470531438147	1	0	0	7.97130330809087	17.0035155773597	SLC38A1
cell aging (GO:0007569)	2/62	0.120484396373663	1	0	0	3.34280461307037	7.07416020428234	NPM1;CITED2
telomere maintenance (GO:0000723)	2/62	0.120484396373663	1	0	0	3.34280461307037	7.07416020428234	DKC1;POLD2
recombinational repair (GO:0000725)	2/62	0.120484396373663	1	0	0	3.34280461307037	7.07416020428234	NABP1;INO80
purine ribonucleotide biosynthetic process (GO:0009152)	3/126	0.122590290300891	1	0	0	2.46730816679003	5.17865150953527	PPAT;NME2;NME1
negative regulation of cell cycle (GO:0045786)	7/430	0.123552330869139	1	0	0	1.68695023496807	3.52756557814288	NPM1;TFAP4;ANAPC7;ZWILCH;RPS6;NABP1;ANAPC10
telomere organization (GO:0032200)	2/63	0.1236802547694	1	0	0	3.28974422238671	6.87574844719903	DKC1;POLD2
regulation of chromosome segregation (GO:0051983)	2/63	0.1236802547694	1	0	0	3.28974422238671	6.87574844719903	ANAPC7;ANAPC10
response to ionizing radiation (GO:0010212)	3/127	0.124715487986673	1	0	0	2.44788054342948	5.09580245285083	NABP1;AEN;INO80
amino acid transport (GO:0006865)	3/128	0.126854045381692	1	0	0	2.42875647668394	5.01469746368101	SLC38A1;SLC25A12;SLC7A1
centrosome organization (GO:0051297)	2/64	0.126896548634583	1	0	0	3.23834196891192	6.68517843961356	NPM1;SLC16A1
embryonic camera-type eye development (GO:0031076)	1/14	0.126982810581845	1	0	0	7.4019245003701	15.2753778788557	RDH10
histone H3-K9 modification (GO:0061647)	1/14	0.126982810581845	1	0	0	7.4019245003701	15.2753778788557	KDM3A
apoptotic cell clearance (GO:0043277)	1/14	0.126982810581845	1	0	0	7.4019245003701	15.2753778788557	TXNDC5
lipid particle organization (GO:0034389)	1/14	0.126982810581845	1	0	0	7.4019245003701	15.2753778788557	PPIA
negative regulation of epidermis development (GO:0045683)	1/14	0.126982810581845	1	0	0	7.4019245003701	15.2753778788557	SRSF6
retinal metabolic process (GO:0042574)	1/14	0.126982810581845	1	0	0	7.4019245003701	15.2753778788557	RDH10
positive regulation of bone resorption (GO:0045780)	1/14	0.126982810581845	1	0	0	7.4019245003701	15.2753778788557	TFRC
branch elongation of an epithelium (GO:0060602)	1/14	0.126982810581845	1	0	0	7.4019245003701	15.2753778788557	RDH10
megakaryocyte development (GO:0035855)	1/14	0.126982810581845	1	0	0	7.4019245003701	15.2753778788557	PTPN11
DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator (GO:0006978)	1/14	0.126982810581845	1	0	0	7.4019245003701	15.2753778788557	TFAP4
left/right axis specification (GO:0070986)	1/14	0.126982810581845	1	0	0	7.4019245003701	15.2753778788557	CITED2
positive regulation of bone remodeling (GO:0046852)	1/14	0.126982810581845	1	0	0	7.4019245003701	15.2753778788557	TFRC
glutamine family amino acid metabolic process (GO:0009064)	2/65	0.130132591541248	1	0	0	3.18852132323635	6.50203718891706	PPAT;CTPS1
carbohydrate biosynthetic process (GO:0016051)	3/130	0.131170494961151	1	0	0	2.39139099242726	4.85753044335503	AGL;SLC25A12;ATF4
negative regulation of kinase activity (GO:0033673)	4/202	0.13199728652082	1	0	0	2.05201867336993	4.15528428311192	NPM1;SPRED1;TFAP4;YWHAG
negative regulation of cell division (GO:0051782)	2/66	0.133387708267776	1	0	0	3.1402103940964	6.32593905374992	ANAPC7;ANAPC10
chromosome organization (GO:0051276)	4/204	0.135412290887723	1	0	0	2.03190084323885	4.06264583556416	DKC1;POLD2;INO80;RAD23B
ventricular system development (GO:0021591)	1/15	0.13541331500447	1	0	0	6.90846286701209	13.812943592738	ANP32B
embryonic camera-type eye morphogenesis (GO:0048596)	1/15	0.13541331500447	1	0	0	6.90846286701209	13.812943592738	CITED2
nucleobase biosynthetic process (GO:0046112)	1/15	0.13541331500447	1	0	0	6.90846286701209	13.812943592738	PPAT
granulocyte differentiation (GO:0030851)	1/15	0.13541331500447	1	0	0	6.90846286701209	13.812943592738	CITED2
histone H4-K8 acetylation (GO:0043982)	1/15	0.13541331500447	1	0	0	6.90846286701209	13.812943592738	OGT
positive regulation of epidermal cell differentiation (GO:0045606)	1/15	0.13541331500447	1	0	0	6.90846286701209	13.812943592738	NME2
cellular response to dexamethasone stimulus (GO:0071549)	1/15	0.13541331500447	1	0	0	6.90846286701209	13.812943592738	TFAP4
morphogenesis of an epithelial fold (GO:0060571)	1/15	0.13541331500447	1	0	0	6.90846286701209	13.812943592738	RDH10
DNA damage response, signal transduction resulting in transcription (GO:0042772)	1/15	0.13541331500447	1	0	0	6.90846286701209	13.812943592738	TFAP4
pyrimidine deoxyribonucleotide metabolic process (GO:0009219)	1/15	0.13541331500447	1	0	0	6.90846286701209	13.812943592738	DTYMK
response to food (GO:0032094)	1/15	0.13541331500447	1	0	0	6.90846286701209	13.812943592738	SLC16A1
copper ion homeostasis (GO:0055070)	1/15	0.13541331500447	1	0	0	6.90846286701209	13.812943592738	COMMD1
histone H4-K5 acetylation (GO:0043981)	1/15	0.13541331500447	1	0	0	6.90846286701209	13.812943592738	OGT
TOR signaling (GO:0031929)	1/15	0.13541331500447	1	0	0	6.90846286701209	13.812943592738	RPS6
T cell apoptotic process (GO:0070231)	1/15	0.13541331500447	1	0	0	6.90846286701209	13.812943592738	RPS6
purine nucleotide biosynthetic process (GO:0006164)	3/132	0.13553814826938	1	0	0	2.3551577955723	4.70678789741664	PPAT;NME2;NME1
negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle (GO:0051436)	2/67	0.136661234662772	1	0	0	3.09334158224422	6.15652356387521	ANAPC7;ANAPC10
response to dexamethasone (GO:0071548)	1/16	0.143762826156366	1	0	0	6.47668393782383	12.5621138461751	TFAP4
negative regulation of cell cycle arrest (GO:0071157)	1/16	0.143762826156366	1	0	0	6.47668393782383	12.5621138461751	TFAP4
protein oligomerization (GO:0051259)	6/366	0.143836966018192	1	0	0	1.69880234434724	3.294104818204	NPM1;RPS19;PPAT;ATL2;RBMX;KCTD15
protein-DNA complex subunit organization (GO:0071824)	3/136	0.144421092857923	1	0	0	2.28588844864371	4.42324441656733	SMARCC1;NPM1;ANP32B
microtubule organizing center organization (GO:0031023)	2/70	0.14658579329358	1	0	0	2.96076980014804	5.68510555790362	NPM1;SLC16A1
response to steroid hormone (GO:0048545)	6/369	0.147744597178123	1	0	0	1.68499094317368	3.2221579522084	KMT2D;DTYMK;TFAP4;CITED2;AGL;NME1
regulation of nuclear division (GO:0051783)	3/138	0.148933396513031	1	0	0	2.25275963054742	4.28983121477961	ANAPC7;PHIP;ANAPC10
proteasomal protein catabolic process (GO:0010498)	4/212	0.14942439145628	1	0	0	1.9552253397204	3.71681446250809	ANAPC7;KEAP1;RAD23B;ANAPC10
regulation of protein ubiquitination (GO:0031396)	4/212	0.14942439145628	1	0	0	1.9552253397204	3.71681446250809	ANAPC7;COMMD1;OGT;ANAPC10
body fluid secretion (GO:0007589)	2/71	0.149926533074072	1	0	0	2.91906881704736	5.53925384039474	PPAT;NME1
cellular response to organic cyclic compound (GO:0071407)	5/291	0.151305005843394	1	0	0	1.78053166675569	3.36245851038452	RBM3;NPM1;SLC16A1;TFAP4;HSP90AB1
regulation of steroid hormone secretion (GO:2000831)	1/17	0.152032118102514	1	0	0	6.09570252971655	11.4822522228055	PTPN11
organ formation (GO:0048645)	1/17	0.152032118102514	1	0	0	6.09570252971655	11.4822522228055	RDH10
regulation of granulocyte differentiation (GO:0030852)	1/17	0.152032118102514	1	0	0	6.09570252971655	11.4822522228055	OGT
protein-DNA complex disassembly (GO:0032986)	1/17	0.152032118102514	1	0	0	6.09570252971655	11.4822522228055	SMARCC1
organ growth (GO:0035265)	1/17	0.152032118102514	1	0	0	6.09570252971655	11.4822522228055	PTPN11
regulation of protein import into nucleus, translocation (GO:0033158)	1/17	0.152032118102514	1	0	0	6.09570252971655	11.4822522228055	HSP90AB1
lymphocyte apoptotic process (GO:0070227)	1/17	0.152032118102514	1	0	0	6.09570252971655	11.4822522228055	RPS6
trophectodermal cell differentiation (GO:0001829)	1/17	0.152032118102514	1	0	0	6.09570252971655	11.4822522228055	CITED2
positive regulation of peptidyl-threonine phosphorylation (GO:0010800)	1/17	0.152032118102514	1	0	0	6.09570252971655	11.4822522228055	PHIP
long-chain fatty-acyl-CoA biosynthetic process (GO:0035338)	1/17	0.152032118102514	1	0	0	6.09570252971655	11.4822522228055	FASN
pseudouridine synthesis (GO:0001522)	1/17	0.152032118102514	1	0	0	6.09570252971655	11.4822522228055	DKC1
nucleosome disassembly (GO:0006337)	1/17	0.152032118102514	1	0	0	6.09570252971655	11.4822522228055	SMARCC1
monocyte chemotaxis (GO:0002548)	1/17	0.152032118102514	1	0	0	6.09570252971655	11.4822522228055	RPS19
positive regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle (GO:0051437)	2/72	0.15328252263351	1	0	0	2.87852619458837	5.39859673924274	ANAPC7;ANAPC10
regulation of nuclease activity (GO:0032069)	2/72	0.15328252263351	1	0	0	2.87852619458837	5.39859673924274	NPM1;ATF4
intracellular steroid hormone receptor signaling pathway (GO:0030518)	2/73	0.156653161201312	1	0	0	2.83909432890908	5.26288901060408	KDM3A;RAN
carbohydrate derivative biosynthetic process (GO:1901137)	6/377	0.158397650801171	1	0	0	1.64923516719121	3.03895762374757	DTYMK;MAT2A;PPAT;NME2;CTPS1;NME1
negative regulation of ubiquitin-protein transferase activity (GO:0051444)	2/74	0.160037858010827	1	0	0	2.80072818932923	5.13189995566162	ANAPC7;ANAPC10
negative regulation of ligase activity (GO:0051352)	2/74	0.160037858010827	1	0	0	2.80072818932923	5.13189995566162	ANAPC7;ANAPC10
spindle organization (GO:0007051)	2/74	0.160037858010827	1	0	0	2.80072818932923	5.13189995566162	INO80;RAN
virion assembly (GO:0019068)	1/18	0.16022195757945	1	0	0	5.75705238917674	10.5422866447789	PPIA
positive regulation of viral genome replication (GO:0045070)	1/18	0.16022195757945	1	0	0	5.75705238917674	10.5422866447789	PPIA
decidualization (GO:0046697)	1/18	0.16022195757945	1	0	0	5.75705238917674	10.5422866447789	CITED2
viral genome replication (GO:0019079)	1/18	0.16022195757945	1	0	0	5.75705238917674	10.5422866447789	DEK
transcription elongation from RNA polymerase III promoter (GO:0006385)	1/18	0.16022195757945	1	0	0	5.75705238917674	10.5422866447789	POLR3H
axis elongation (GO:0003401)	1/18	0.16022195757945	1	0	0	5.75705238917674	10.5422866447789	RDH10
glycogen catabolic process (GO:0005980)	1/18	0.16022195757945	1	0	0	5.75705238917674	10.5422866447789	AGL
termination of RNA polymerase III transcription (GO:0006386)	1/18	0.16022195757945	1	0	0	5.75705238917674	10.5422866447789	POLR3H
regulation of binding (GO:0051098)	4/218	0.160284822968529	1	0	0	1.90141179826021	3.481110239621	TFAP4;HSP90AB1;RAN;NME1
positive regulation of neuron projection development (GO:0010976)	3/144	0.162735741239669	1	0	0	2.15889464594128	3.91974873307894	FBXW8;ARHGDIA;NME1
positive regulation of epithelial cell proliferation (GO:0050679)	3/144	0.162735741239669	1	0	0	2.15889464594128	3.91974873307894	NME2;SRSF6;NME1
nucleotide-excision repair (GO:0006289)	2/75	0.163436032233508	1	0	0	2.76338514680484	5.00541238096375	POLD2;RAD23B
negative regulation of cellular catabolic process (GO:0031330)	3/145	0.165072891439314	1	0	0	2.14400571734858	3.86214358334684	HSP90AB1;ANAPC7;ANAPC10
tRNA metabolic process (GO:0006399)	3/146	0.167420051196649	1	0	0	2.12932074668181	3.80562711608897	TRNT1;TSEN2;EEF1E1
positive regulation of protein ubiquitination (GO:0031398)	3/146	0.167420051196649	1	0	0	2.12932074668181	3.80562711608897	ANAPC7;COMMD1;ANAPC10
myeloid cell homeostasis (GO:0002262)	1/19	0.168333103968342	1	0	0	5.45404963185165	9.71808290668188	RPS24
peptidyl-lysine trimethylation (GO:0018023)	1/19	0.168333103968342	1	0	0	5.45404963185165	9.71808290668188	OGT
myoblast differentiation (GO:0045445)	1/19	0.168333103968342	1	0	0	5.45404963185165	9.71808290668188	DTYMK
regulation of translational elongation (GO:0006448)	1/19	0.168333103968342	1	0	0	5.45404963185165	9.71808290668188	EIF5A
deoxyribonucleoside triphosphate metabolic process (GO:0009200)	1/19	0.168333103968342	1	0	0	5.45404963185165	9.71808290668188	DTYMK
platelet formation (GO:0030220)	1/19	0.168333103968342	1	0	0	5.45404963185165	9.71808290668188	PTPN11
negative regulation of potassium ion transport (GO:0043267)	1/19	0.168333103968342	1	0	0	5.45404963185165	9.71808290668188	ATF4
histone H4-K16 acetylation (GO:0043984)	1/19	0.168333103968342	1	0	0	5.45404963185165	9.71808290668188	OGT
innate immune response in mucosa (GO:0002227)	1/19	0.168333103968342	1	0	0	5.45404963185165	9.71808290668188	RPL39
rRNA transcription (GO:0009303)	1/19	0.168333103968342	1	0	0	5.45404963185165	9.71808290668188	GTF3C4
labyrinthine layer blood vessel development (GO:0060716)	1/19	0.168333103968342	1	0	0	5.45404963185165	9.71808290668188	FBXW8
retina layer formation (GO:0010842)	1/19	0.168333103968342	1	0	0	5.45404963185165	9.71808290668188	FJX1
fatty-acyl-CoA biosynthetic process (GO:0046949)	1/19	0.168333103968342	1	0	0	5.45404963185165	9.71808290668188	FASN
L-glutamate transport (GO:0015813)	1/19	0.168333103968342	1	0	0	5.45404963185165	9.71808290668188	SLC25A12
acetyl-CoA metabolic process (GO:0006084)	1/19	0.168333103968342	1	0	0	5.45404963185165	9.71808290668188	FASN
glucan catabolic process (GO:0009251)	1/19	0.168333103968342	1	0	0	5.45404963185165	9.71808290668188	AGL
regulation of DNA binding (GO:0051101)	2/77	0.170270538612243	1	0	0	2.69160890922549	4.76513479112123	TFAP4;NME1
regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle (GO:0051439)	2/78	0.1737057575194	1	0	0	2.65710110269696	4.65096973546854	ANAPC7;ANAPC10
glucose metabolic process (GO:0006006)	3/149	0.174519749514361	1	0	0	2.08644851688285	3.64234940921038	AGL;SLC25A12;ATF4
leukocyte migration (GO:0050900)	4/226	0.17519936244763	1	0	0	1.83410518593241	3.19470079230412	SLC16A1;RPS19;PTPN11;PPIA
